algorithm,model_path,env_type,n_episodes,seed,deterministic,mean_return,std_return,min_return,max_return,success_rate
PPO,models/ppo_push_none_source_500k_seed_0.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_none_source_500k_seed_0.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
SAC,models/sac_push_none_source_500k_seed_0.zip,target,50,0,True,-3.1886513233184814,1.9998254776000977,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_none_source_500k_seed_0.zip,target,10,123,True,-3.6104633808135986,2.02374529838562,-6.626016139984131,-0.03232099860906601,0.2
SAC,models/sac_push_none_source_500k_seed_0.zip,target,10,456,True,-3.4146218299865723,1.8369951248168945,-5.83582878112793,-0.012051999568939209,0.2
PPO,models/ppo_push_none_source_500k_seed_0.zip,target,10,123,False,-3.6104633808135986,2.02374529838562,-6.626016139984131,-0.03232099860906601,0.2
SAC,models/sac_push_none_source_500k_seed_0.zip,target,10,123,False,-3.6104633808135986,2.02374529838562,-6.626016139984131,-0.03232099860906601,0.2
PPO,models/ppo_push_none_source_500k_seed_0.zip,source,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_none_source_500k_seed_0.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
SAC,models/sac_push_none_source_500k_seed_0.zip,source,50,0,True,-3.1886513233184814,1.9998254776000977,-6.200247764587402,-0.00787500012665987,0.24
SAC,models/sac_push_none_source_500k_seed_0.zip,target,50,0,True,-3.1886513233184814,1.9998254776000977,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_none_source_500k_seed_0.zip,target,50,1,True,-3.195040225982666,2.004534959793091,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_none_source_500k_seed_0.zip,target,50,2,True,-3.1331613063812256,2.052992582321167,-6.200247764587402,-0.00787500012665987,0.26
PPO,models/ppo_push_none_source_500k_seed_0.zip,target,50,1,True,-3.195040225982666,2.004534959793091,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_none_source_500k_seed_0.zip,target,50,2,True,-3.1331613063812256,2.052992582321167,-6.200247764587402,-0.00787500012665987,0.26
PPO,models/ppo_push_none_source_500k_seed_0.zip,target,50,3,True,-3.1421608924865723,2.0617315769195557,-6.200247764587402,-0.00787500012665987,0.26
PPO,models/ppo_push_none_source_500k_seed_0.zip,source,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
SAC,models/sac_push_none_source_500k_seed_0.zip,source,50,0,True,-3.1886513233184814,1.9998254776000977,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_none_source_500k_seed_0.zip,source,50,1,True,-3.195040225982666,2.004534959793091,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_none_source_500k_seed_0.zip,source,50,2,True,-3.1331613063812256,2.052992582321167,-6.200247764587402,-0.00787500012665987,0.26
SAC,models/sac_push_none_source_500k_seed_0.zip,source,50,1,True,-3.1950364112854004,2.004530906677246,-6.200247764587402,-0.00787500012665987,0.24
SAC,models/sac_push_none_source_500k_seed_0.zip,source,50,2,True,-3.133157253265381,2.0529885292053223,-6.200247764587402,-0.00787500012665987,0.26
PPO,models/ppo_push_none_source_500k_seed_0.zip,source,50,2,True,-3.1331613063812256,2.052992582321167,-6.200247764587402,-0.00787500012665987,0.26
PPO,models/ppo_push_none_source_500k_seed_0.zip,source,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_none_source_500k_seed_0.zip,source,50,1,True,-3.195040225982666,2.004534959793091,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_none_source_500k_seed_0.zip,source,50,2,True,-3.1331613063812256,2.052992582321167,-6.200247764587402,-0.00787500012665987,0.26
SAC,models/sac_push_none_source_500k_seed_0.zip,source,50,0,True,-3.1886513233184814,1.9998254776000977,-6.200247764587402,-0.00787500012665987,0.24
SAC,models/sac_push_none_source_500k_seed_0.zip,source,50,1,True,-3.1950364112854004,2.004530906677246,-6.200247764587402,-0.00787500012665987,0.24
SAC,models/sac_push_none_source_500k_seed_0.zip,source,50,2,True,-3.133157253265381,2.0529885292053223,-6.200247764587402,-0.00787500012665987,0.26
SAC,models/sac_push_none_source_500k_seed_0.zip,source,50,0,True,-3.1886513233184814,1.9998254776000977,-6.200247764587402,-0.00787500012665987,0.24
SAC,models/sac_push_none_source_500k_seed_0.zip,source,50,0,True,-3.1886513233184814,1.9998254776000977,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_none_source_500k_seed_0.zip,source,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
SAC,models/sac_push_none_source_500k_seed_0.zip,source,50,0,True,-3.1886513233184814,1.9998254776000977,-6.200247764587402,-0.00787500012665987,0.24
SAC,models/sac_push_none_source_500k_seed_0.zip,source,50,0,True,-3.1886513233184814,1.9998254776000977,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_none_source_500k_seed_0.zip,source,1,0,True,-4.506741046905518,0.0,-4.506741046905518,-4.506741046905518,0.0
PPO,models/ppo_push_none_source_500k_seed_0.zip,source,1,0,True,-4.506741046905518,0.0,-4.506741046905518,-4.506741046905518,0.0
PPO,models/ppo_push_none_source_500k_seed_0.zip,source,1,0,True,-4.506741046905518,0.0,-4.506741046905518,-4.506741046905518,0.0
SAC,models/sac_push_none_source_500k_seed_0.zip,source,1,0,True,-4.506741046905518,0.0,-4.506741046905518,-4.506741046905518,0.0
SAC,models/sac_push_none_source_500k_seed_0.zip,source,1,0,True,-4.506741046905518,0.0,-4.506741046905518,-4.506741046905518,0.0
SAC,models/sac_push_none_source_500k_seed_0.zip,source,1,0,True,-4.506741046905518,0.0,-4.506741046905518,-4.506741046905518,0.0
PPO,models/ppo_push_none_source_500k_seed_0.zip,source,1,0,True,-4.506741046905518,0.0,-4.506741046905518,-4.506741046905518,0.0
SAC,models/sac_push_none_source_5000k_seed_0.zip,source,50,0,True,-3.188654899597168,1.999828577041626,-6.200247764587402,-0.00787500012665987,0.24
SAC,models/best/sac_push_none_source_5000k_seed_0/best_model.zip,source,50,0,True,-2.505112409591675,1.9272303581237793,-6.201157093048096,-0.007873999886214733,0.46
SAC,models/sac_push_none_source_5000k_seed_0.zip,target,50,0,True,-3.188654899597168,1.999828577041626,-6.200247764587402,-0.00787500012665987,0.24
SAC,models/best/sac_push_none_source_5000k_seed_0/best_model.zip,target,50,0,True,-2.6318371295928955,1.9587026834487915,-6.201157093048096,-0.007873999886214733,0.42
PPO,models/best/ppo_push_none_source_5000k_seed_0/best_model.zip,source,50,0,True,-2.7223596572875977,1.895764708518982,-6.200247764587402,-0.007873999886214733,0.5
PPO,models/best/ppo_push_none_source_5000k_seed_0/best_model.zip,target,50,0,True,-2.7427849769592285,1.9105437994003296,-6.200247764587402,-0.007873999886214733,0.5
PPO,models/best/ppo_push_none_target_5000k_seed_0/best_model.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_none_target_5000k_seed_0/best_model.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_none_source_1000k_lr_0p0001_seed_0.zip,source,50,0,True,-3.188657283782959,1.999830722808838,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_none_source_1000k_lr_0p0001_seed_0.zip,target,50,0,True,-3.188657283782959,1.999830722808838,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_none_source_1000k_lr_0p0001_seed_0/best_model.zip,source,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_none_source_1000k_lr_0p0001_seed_0/best_model.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_none_source_5000k_lr_0p0003_seed_0/best_model.zip,source,50,0,True,-2.7223596572875977,1.895764708518982,-6.200247764587402,-0.007873999886214733,0.5
PPO,models/best/ppo_push_none_target_5000k_lr_0p0003_seed_0/best_model.zip,source,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_none_target_5000k_lr_0p0003_seed_0/best_model.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
SAC,models/best/sac_push_none_source_5000k_lr_0p0003_seed_0/best_model.zip,source,50,0,True,-2.505112409591675,1.9272303581237793,-6.201157093048096,-0.007873999886214733,0.46
SAC,models/best/sac_push_none_source_5000k_lr_0p0003_seed_0/best_model.zip,target,50,0,True,-2.6318371295928955,1.9587026834487915,-6.201157093048096,-0.007873999886214733,0.42
PPO,models/best/ppo_push_none_source_1000k_lr_0p0003_seed_0/best_model.zip,source,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_none_source_1000k_lr_0p0005_seed_0/best_model.zip,source,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_none_source_1000k_lr_0p0005_seed_0/best_model.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_none_source_1000k_lr_0p0005_seed_0.zip,source,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_none_source_1000k_lr_0p0003_seed_0.zip,source,50,0,True,-3.1567816734313965,1.972088098526001,-6.201157093048096,-0.007873999886214733,0.28
PPO,models/ppo_push_none_source_5000k_lr_0p0003_seed_0.zip,source,50,0,True,-2.780163288116455,1.9437129497528076,-6.200247764587402,-0.00787500012665987,0.48
PPO,models/ppo_push_none_source_5000k_lr_0p0003_seed_0.zip,target,50,0,True,-2.814314842224121,1.9506675004959106,-6.200247764587402,-0.00787500012665987,0.46
PPO,models/ppo_push_none_target_5000k_lr_0p0003_seed_0.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_none_target_5000k_lr_0p0003_seed_0/best_model.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_none_target_5000k_lr_0p0003_seed_0/best_model.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_none_target_5000k_lr_0p0003_seed_0.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_none_source_1000k_lr_0p0001_seed_0/best_model.zip,source,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
